 ****** HSPICE -- Q-2020.03-SP2-2 linux64 (Nov  1 2020) ******
  Copyright (c) 1986 - 2026 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#QQnorm plots from data
#
#Number of tail samples
9
#Number of plot points
1000
#Number of Measures
1
#Measure names (Last three columns give the Standard Normal Quantiles and Lower/Upper Confidence Interval Limits)
v_final,StdNormalQuantiles,Confidence_Interval_L,Confidence_Interval_U
0.06269049,-0.4412942,-0.5232339,-0.3595228
0.06269634,-0.4385329,-0.5204344,-0.3567983
0.06269776,-0.435775,-0.5176385,-0.3540769
0.06270299,-0.4330203,-0.5148462,-0.3513584
0.06270427,-0.430269,-0.5120575,-0.348643
0.06270598,-0.4275209,-0.5092724,-0.3459305
0.06270929,-0.424776,-0.5064907,-0.343221
0.06271106,-0.4220343,-0.5037126,-0.3405143
0.06271214,-0.4192958,-0.500938,-0.3378106
0.06271986,-0.4165604,-0.4981668,-0.3351097
0.06272096,-0.4138281,-0.495399,-0.3324116
0.06272951,-0.4110989,-0.4926345,-0.3297163
0.0627309,-0.4083728,-0.4898735,-0.3270238
0.06273144,-0.4056497,-0.4871157,-0.3243341
0.06273354,-0.4029296,-0.4843612,-0.3216471
0.06273421,-0.4002125,-0.48161,-0.3189627
0.06274434,-0.3974984,-0.4788621,-0.3162811
0.06274526,-0.3947871,-0.4761173,-0.3136021
0.06274728,-0.3920788,-0.4733757,-0.3109257
0.062756,-0.3893733,-0.4706373,-0.308252
0.06275848,-0.3866707,-0.467902,-0.3055808
0.06276241,-0.3839709,-0.4651698,-0.3029121
0.06276316,-0.3812739,-0.4624406,-0.300246
0.06276848,-0.3785797,-0.4597145,-0.2975824
0.06276849,-0.3758882,-0.4569915,-0.2949213
0.06277473,-0.3731995,-0.4542714,-0.2922626
0.06277585,-0.3705134,-0.4515543,-0.2896064
0.06277649,-0.36783,-0.4488401,-0.2869525
